feature,importance
Curricular units 2nd sem (approved),1.0418012055937702
Mother's occupation_1,1.0339712690697918
Mother's occupation_12,0.9346524250224034
Father's qualification_29,0.9107203512997915
Application mode_6,0.8367852404317621
Mother's occupation_29,0.824986862729603
total_units_approved,0.7994208012067112
Father's occupation_12,0.794142003437722
Nacionality_11,0.6774538353926505
Course_2,0.6756311322486602
Course_10,0.6334441672427791
Course_7,0.6145157001209097
Curricular units 2nd sem (enrolled),0.6143217448430388
Application mode_3,0.5928997379821804
Mother's occupation_9,0.5895970108521564
Course_8,0.5886633355458325
Mother's occupation_18,0.5807255493762266
Mother's qualification_28,0.5670487433840554
Course_16,0.5610563527807281
Application mode_5,0.5277522637569088
Mother's qualification_4,0.5275366427726942
Curricular units 1st sem (approved),0.5249209884983682
Mother's occupation_30,0.5232742945868485
Marital status_6,0.5198877927631579
Father's qualification_2,0.5105697652949832
Previous qualification_4,0.5071915663259791
Nacionality_19,0.5027797936615664
Father's occupation_1,0.48423590424735097
Father's qualification_30,0.47759599322582097
Nacionality_12,0.47333872316677056
Mother's qualification_26,0.4678332563114547
Previous qualification_2,0.4662599536664491
Mother's occupation_19,0.4549593401017895
Previous qualification_17,0.4454330254670446
Father's occupation_35,0.4384713165279661
Father's qualification_5,0.4325199822143593
Application mode_17,0.43148806110800847
Tuition fees up to date_0,0.4308354715793256
approval_ratio,0.42772932851985623
total_units_enrolled,0.4185430162714958
Tuition fees up to date_1,0.4120438604627459
Father's qualification_21,0.4019099791552851
Father's occupation_20,0.4007871188239318
Mother's qualification_7,0.3952286281147188
Marital status_3,0.3949290581444289
Mother's qualification_10,0.3796971044188311
Father's occupation_5,0.37079889133767613
Father's qualification_33,0.36952912421993567
Father's qualification_9,0.3692654474779569
Mother's qualification_19,0.3519703347689009
socioeconomic_risk_flags,0.3510845632759982
Father's qualification_7,0.34980733558532445
Mother's qualification_2,0.3453257213983514
Application mode_13,0.34484698762627736
Father's occupation_39,0.32916102601995606
Father's qualification_28,0.328685313101143
Application mode_15,0.32623540456361183
Father's occupation_4,0.3191057848658763
Course_4,0.3182892331964749
Course_6,0.3173159741508453
Application mode_4,0.3151235066298696
Course_17,0.3150199149337222
Course_3,0.31381497526091173
Nacionality_9,0.31195685020786135
Father's occupation_31,0.3049169403009004
Course_1,0.3032793357287542
Mother's occupation_22,0.29956253189817
Father's qualification_22,0.29478340641358497
Father's occupation_16,0.2942520826453967
Mother's qualification_5,0.2938593395277106
Application mode_11,0.2927708931748692
Mother's qualification_3,0.29152717126889344
Father's qualification_24,0.2908477827999619
Mother's occupation_31,0.28783272785475583
Father's qualification_1,0.2813768874520272
Father's occupation_10,0.2813043892560448
Mother's occupation_7,0.28026875278205193
Father's occupation_21,0.2779560141956564
Mother's qualification_13,0.2779076612001565
Father's occupation_25,0.27771057306897856
Nacionality_14,0.27712425065814394
Nacionality_17,0.27385249271406475
Previous qualification_15,0.27225599643432247
Father's occupation_43,0.27214998663238377
Father's occupation_45,0.2720933413422599
Previous qualification_13,0.2707527357816187
Application mode_9,0.2694974832405998
Previous qualification_9,0.26749315880336716
Previous qualification_1,0.2668902942107813
Nacionality_8,0.26539975880949274
Father's occupation_14,0.2632041975190612
Father's occupation_44,0.26134421758057136
Father's qualification_14,0.26080270247371196
Marital status_4,0.258129813939247
Mother's occupation_13,0.2571552689816487
Father's occupation_2,0.24727334533246328
Father's occupation_17,0.24597993796851902
Father's qualification_12,0.24364569423039542
Mother's qualification_25,0.2398179413542255
Previous qualification_14,0.23957496995693306
Mother's occupation_8,0.23902352098055854
Mother's qualification_1,0.23667499193122876
Father's occupation_29,0.23598589694190877
Application mode_14,0.23535690535178314
Father's occupation_33,0.23472550066825018
Previous qualification_16,0.23376327709753233
Father's qualification_27,0.23361793307562884
Curricular units 1st sem (enrolled),0.23311725909621242
Nacionality_4,0.23206415689745777
Course_13,0.2309543060914663
Mother's qualification_24,0.2293176500402143
Father's occupation_23,0.22863776839040084
Father's occupation_36,0.2275258911871587
Mother's occupation_3,0.22721866436486046
Nacionality_16,0.22630070004225197
Course_11,0.22626537064564226
Father's occupation_8,0.22389470982307821
Father's occupation_34,0.22197211669197917
Father's qualification_32,0.22049016689988443
Previous qualification_3,0.21776430385219628
Mother's occupation_23,0.2146482760403555
Nacionality_3,0.21458541852449287
Mother's occupation_15,0.2136920682044847
Mother's occupation_21,0.21309728203020592
Father's occupation_42,0.20950795256013977
Father's qualification_16,0.20950325664697744
Course_15,0.2082959375353367
Nacionality_10,0.2063844385926458
Mother's occupation_26,0.20375510158743057
Marital status_2,0.2029637429135571
Mother's occupation_20,0.20109897106298527
Mother's occupation_6,0.19945160238034212
Mother's qualification_21,0.19908137179996532
Mother's qualification_22,0.19637172734115316
Father's qualification_8,0.19574521139373927
Mother's qualification_15,0.19569195382064405
Marital status_5,0.19472915553950365
Father's occupation_9,0.19338470241055464
Father's occupation_26,0.1928164371131795
Curricular units 2nd sem (evaluations),0.1867951471815139
Mother's qualification_17,0.1865365237825667
Unemployment rate,0.18354014224049575
Mother's occupation_17,0.1828542466660589
Application mode_12,0.18058448779499328
Previous qualification_6,0.18026696481271073
Father's occupation_11,0.17848653858766458
Mother's qualification_20,0.17797234505052195
Father's qualification_25,0.17797234505052195
Mother's occupation_11,0.17330289824074932
Mother's occupation_28,0.17270406620813658
Father's occupation_41,0.16888993099185098
Father's occupation_40,0.1677749294604467
Father's occupation_27,0.1645915180242509
Father's occupation_13,0.16201761395512446
Mother's occupation_2,0.16112924501667844
Application mode_16,0.16110636134708636
Mother's qualification_9,0.15852047576893966
Course_5,0.1583821516263711
Mother's qualification_29,0.15837610797780519
Scholarship holder_1,0.1580875764542956
Previous qualification_11,0.1576211665863624
Marital status_1,0.1546775879451414
Father's occupation_15,0.15466269800626786
Mother's qualification_8,0.1541033635625485
Course_9,0.15233048568557464
Father's qualification_31,0.15220634866019248
Father's qualification_26,0.15064359621824222
Curricular units 1st sem (evaluations),0.14961876301107524
Father's qualification_20,0.14329057334888043
International_0,0.14196449069091924
Nacionality_1,0.14196449069091924
Scholarship holder_0,0.13929596533770916
Mother's qualification_23,0.1374494208285384
Curricular units 2nd sem (credited),0.13637919599148585
Father's occupation_7,0.1357075567176251
Father's qualification_4,0.13400763451475184
Application mode_7,0.12831214781588549
Father's qualification_3,0.12826323299614736
Application mode_18,0.1268992995747048
Father's occupation_30,0.1259270491005616
Father's occupation_46,0.12503165974619643
Mother's occupation_5,0.12368989806314812
International_1,0.12317287957433433
Mother's occupation_4,0.1213777113158847
Previous qualification_7,0.12014057672687385
Course_12,0.1186552228323402
Mother's qualification_6,0.11742581689796137
Father's occupation_3,0.11643748336682229
Course_14,0.11595082970886848
Mother's qualification_27,0.11044577603419355
Curricular units 2nd sem (grade),0.10714064963573135
Mother's occupation_27,0.100749463503315
Father's qualification_13,0.10015854480432586
Mother's qualification_12,0.10015854480432586
Father's occupation_37,0.0990669206421511
Mother's occupation_32,0.09866568329110352
average_grade,0.097399829885996
Nacionality_18,0.09155716323439499
Application mode_2,0.09139176174953802
Application order,0.08948019066280839
Application mode_8,0.08601590163521604
Previous qualification_12,0.08592029094667715
Mother's occupation_14,0.08393015894526233
Gender_1,0.08309946044343873
Displaced_1,0.08285197834687526
Mother's occupation_25,0.08239134055506815
Age at enrollment,0.08119176438788822
Father's qualification_10,0.0802851043526996
Curricular units 1st sem (grade),0.07864385971669396
Curricular units 2nd sem (without evaluations),0.07788046831633483
Nacionality_20,0.07499641512615747
Curricular units 1st sem (credited),0.07437901322531466
grade_trend,0.07336654304982766
Debtor_0,0.07095478479691515
Mother's occupation_10,0.06903999639630976
Nacionality_6,0.0688199270847722
Debtor_1,0.06868014916831318
Gender_0,0.06430784932685325
Displaced_0,0.06406036723028885
Father's occupation_6,0.0613179270526417
Father's occupation_28,0.052879989110653856
Father's occupation_32,0.050649552475810454
Educational special needs_1,0.04953345638099189
Father's qualification_6,0.044053158047145546
Curricular units 1st sem (without evaluations),0.043868006110415615
Mother's qualification_18,0.03699025215782761
Nacionality_2,0.03576035058730612
GDP,0.03521871875870259
Daytime/evening attendance_1,0.03339955524096989
Application mode_10,0.03292833469935357
Father's qualification_34,0.023282413581518373
Father's qualification_17,0.02314238020009578
Inflation rate,0.022540362764709942
Application mode_1,0.019984259116405705
